Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY11,Latin America & Caribbean,Guatemala,P122370,Emergency Support For Social Services,http://www.worldbank.org/projects/P122370?lang=en,"Chakeri,Jasmin",Emergency Recovery Loan,Macro Economics & Fiscal Management,IBRD/IDA,0,70,0,70,70%
FY11,Latin America & Caribbean,Guyana,P110018,Improving Teacher Education,http://www.worldbank.org/projects/P110018?lang=en,"Yang,Hongyu",Specific Investment Loan,Education,IBRD/IDA,3.78,0,0,3.78,90%
FY11,Latin America & Caribbean,Guyana,P125288,Science And Technology Support,http://www.worldbank.org/projects/P125288?lang=en,"Yang,Hongyu",Specific Investment Loan,Education,IBRD/IDA,6.6,0,0,6.6,66%
FY11,Latin America & Caribbean,Haiti,P121690,Household Development Agent Pilot,http://www.worldbank.org/projects/P121690?lang=en,"Bassett,Lucy Katherine",Specific Investment Loan,Social Protection & Labor,Recipient Executed Activities,0,0,0.23,0.23,15%
FY11,Latin America & Caribbean,Honduras,P121220,Emergency Recovery Development Policy Credit,http://www.worldbank.org/projects/P121220?lang=en,"Medvedev,Denis",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,7.47,0,0,7.47,10%
FY11,Latin America & Caribbean,Honduras,P126158,Additional Financing For Nutrition And Social Protection Project,http://www.worldbank.org/projects/P126158?lang=en,"Bassett,Lucy Katherine",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,0.97,0,0,0.97,27%
FY11,Latin America & Caribbean,Panama,P123255,Development Policy Loan,http://www.worldbank.org/projects/P123255?lang=en,"Medvedev,Denis",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,6,0,6,6%
FY11,Latin America & Caribbean,Peru,P116264,Third Results & Accountability (REACT) Programmatic Development Policy Loan,http://www.worldbank.org/projects/P116264?lang=en,"Marini,Alessandra",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,8.5,0,8.5,17%
FY11,Latin America & Caribbean,Peru,P120860,Catastrophe Development Policy Loan Deferred Drawdown Option (DDO) Project,http://www.worldbank.org/projects/P120860?lang=en,"Ramirez Cortes,Fernando",Development Policy Lending,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,5,0,5,5%
FY11,Latin America & Caribbean,St. Lucia,P125205,Hurricane Tomas Emergency Recovery Loan,http://www.worldbank.org/projects/P125205?lang=en,"Fisseha,Tiguist",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,3,0,0,3,20%
FY11,Latin America & Caribbean,St. Vincent and the Grenadines,P124939,Hurricane Tomas Emergency Recovery Loan,http://www.worldbank.org/projects/P124939?lang=en,"Vivo,Gaetano",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,1.85,0,0,1.85,37%
FY11,Latin America & Caribbean,Uruguay,P116215,"First Programmatic Public Sector, Competitiveness And Social Inclusion Development Policy Loan",http://www.worldbank.org/projects/P116215?lang=en,"Fiess,Norbert Matthias",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,14,0,14,14%
